+ 0.293467 0 1 tcp 1040 ------- 0 0.0 1.0 21 32
+ 0.293467 0 1 tcp 1040 ------- 0 0.0 1.0 22 33
r 0.295133 0 1 tcp 1040 ------- 0 0.0 1.0 11 17
+ 0.295133 1 0 ack 40 ------- 0 1.0 0.0 11 34
- 0.295133 1 0 ack 40 ------- 0 1.0 0.0 11 34
- 0.297067 0 1 tcp 1040 ------- 0 0.0 1.0 13 20
r 0.3004 1 0 ack 40 ------- 0 1.0 0.0 11 34
+ 0.3004 0 1 tcp 1040 ------- 0 0.0 1.0 23 35
+ 0.3004 0 1 tcp 1040 ------- 0 0.0 1.0 24 36
r 0.302067 0 1 tcp 1040 ------- 0 0.0 1.0 12 18
+ 0.302067 1 0 ack 40 ------- 0 1.0 0.0 12 37
- 0.302067 1 0 ack 40 ------- 0 1.0 0.0 12 37
- 0.304 0 1 tcp 1040 ------- 0 0.0 1.0 14 21
r 0.307333 1 0 ack 40 ------- 0 1.0 0.0 12 37
+ 0.307333 0 1 tcp 1040 ------- 0 0.0 1.0 25 38
+ 0.307333 0 1 tcp 1040 ------- 0 0.0 1.0 26 39
r 0.309 0 1 tcp 1040 ------- 0 0.0 1.0 13 20
+ 0.309 1 0 ack 40 ------- 0 1.0 0.0 13 40
- 0.309 1 0 ack 40 ------- 0 1.0 0.0 13 40
- 0.310933 0 1 tcp 1040 ------- 0 0.0 1.0 15 23
r 0.314267 1 0 ack 40 ------- 0 1.0 0.0 13 40
+ 0.314267 0 1 tcp 1040 ------- 0 0.0 1.0 27 41
+ 0.314267 0 1 tcp 1040 ------- 0 0.0 1.0 28 42
r 0.315933 0 1 tcp 1040 ------- 0 0.0 1.0 14 21
+ 0.315933 1 0 ack 40 ------- 0 1.0 0.0 14 43
- 0.315933 1 0 ack 40 ------- 0 1.0 0.0 14 43
- 0.317867 0 1 tcp 1040 ------- 0 0.0 1.0 16 24
r 0.3212 1 0 ack 40 ------- 0 1.0 0.0 14 43
+ 0.3212 0 1 tcp 1040 ------- 0 0.0 1.0 29 44
+ 0.3212 0 1 tcp 1040 ------- 0 0.0 1.0 30 45
r 0.322867 0 1 tcp 1040 ------- 0 0.0 1.0 15 23
+ 0.322867 1 0 ack 40 ------- 0 1.0 0.0 15 46
- 0.322867 1 0 ack 40 ------- 0 1.0 0.0 15 46
- 0.3248 0 1 tcp 1040 ------- 0 0.0 1.0 17 26
r 0.328133 1 0 ack 40 ------- 0 1.0 0.0 15 46
+ 0.328133 0 1 tcp 1040 ------- 0 0.0 1.0 31 47
+ 0.328133 0 1 tcp 1040 ------- 0 0.0 1.0 32 48
r 0.3298 0 1 tcp 1040 ------- 0 0.0 1.0 16 24
+ 0.3298 1 0 ack 40 ------- 0 1.0 0.0 16 49
- 0.3298 1 0 ack 40 ------- 0 1.0 0.0 16 49
- 0.331733 0 1 tcp 1040 ------- 0 0.0 1.0 18 27
r 0.335067 1 0 ack 40 ------- 0 1.0 0.0 16 49
+ 0.335067 0 1 tcp 1040 ------- 0 0.0 1.0 33 50
+ 0.335067 0 1 tcp 1040 ------- 0 0.0 1.0 34 51
r 0.336733 0 1 tcp 1040 ------- 0 0.0 1.0 17 26
+ 0.336733 1 0 ack 40 ------- 0 1.0 0.0 17 52
- 0.336733 1 0 ack 40 ------- 0 1.0 0.0 17 52
- 0.338667 0 1 tcp 1040 ------- 0 0.0 1.0 19 29
r 0.342 1 0 ack 40 ------- 0 1.0 0.0 17 52
+ 0.342 0 1 tcp 1040 ------- 0 0.0 1.0 35 53
+ 0.342 0 1 tcp 1040 ------- 0 0.0 1.0 36 54
r 0.343667 0 1 tcp 1040 ------- 0 0.0 1.0 18 27
+ 0.343667 1 0 ack 40 ------- 0 1.0 0.0 18 55
- 0.343667 1 0 ack 40 ------- 0 1.0 0.0 18 55
- 0.3456 0 1 tcp 1040 ------- 0 0.0 1.0 20 30
r 0.348933 1 0 ack 40 ------- 0 1.0 0.0 18 55
+ 0.348933 0 1 tcp 1040 ------- 0 0.0 1.0 37 56
+ 0.348933 0 1 tcp 1040 ------- 0 0.0 1.0 38 57
r 0.3506 0 1 tcp 1040 ------- 0 0.0 1.0 19 29
+ 0.3506 1 0 ack 40 ------- 0 1.0 0.0 19 58
- 0.3506 1 0 ack 40 ------- 0 1.0 0.0 19 58
- 0.352533 0 1 tcp 1040 ------- 0 0.0 1.0 21 32
r 0.355867 1 0 ack 40 ------- 0 1.0 0.0 19 58
+ 0.355867 0 1 tcp 1040 ------- 0 0.0 1.0 39 59
r 0.357533 0 1 tcp 1040 ------- 0 0.0 1.0 20 30
+ 0.357533 1 0 ack 40 ------- 0 1.0 0.0 20 60
- 0.357533 1 0 ack 40 ------- 0 1.0 0.0 20 60
- 0.359467 0 1 tcp 1040 ------- 0 0.0 1.0 22 33
r 0.3628 1 0 ack 40 ------- 0 1.0 0.0 20 60
+ 0.3628 0 1 tcp 1040 ------- 0 0.0 1.0 40 61
r 0.364467 0 1 tcp 1040 ------- 0 0.0 1.0 21 32
+ 0.364467 1 0 ack 40 ------- 0 1.0 0.0 21 62
- 0.364467 1 0 ack 40 ------- 0 1.0 0.0 21 62
- 0.3664 0 1 tcp 1040 ------- 0 0.0 1.0 23 35
r 0.369733 1 0 ack 40 ------- 0 1.0 0.0 21 62
+ 0.369733 0 1 tcp 1040 ------- 0 0.0 1.0 41 63
r 0.3714 0 1 tcp 1040 ------- 0 0.0 1.0 22 33
+ 0.3714 1 0 ack 40 ------- 0 1.0 0.0 22 64
- 0.3714 1 0 ack 40 ------- 0 1.0 0.0 22 64
- 0.373333 0 1 tcp 1040 ------- 0 0.0 1.0 24 36
r 0.376667 1 0 ack 40 ------- 0 1.0 0.0 22 64
+ 0.376667 0 1 tcp 1040 ------- 0 0.0 1.0 42 65
r 0.378333 0 1 tcp 1040 ------- 0 0.0 1.0 23 35
+ 0.378333 1 0 ack 40 ------- 0 1.0 0.0 23 66
- 0.378333 1 0 ack 40 ------- 0 1.0 0.0 23 66
- 0.380267 0 1 tcp 1040 ------- 0 0.0 1.0 25 38
r 0.3836 1 0 ack 40 ------- 0 1.0 0.0 23 66
+ 0.3836 0 1 tcp 1040 ------- 0 0.0 1.0 43 67
r 0.385267 0 1 tcp 1040 ------- 0 0.0 1.0 24 36
+ 0.385267 1 0 ack 40 ------- 0 1.0 0.0 24 68
- 0.385267 1 0 ack 40 ------- 0 1.0 0.0 24 68
- 0.3872 0 1 tcp 1040 ------- 0 0.0 1.0 26 39
r 0.390533 1 0 ack 40 ------- 0 1.0 0.0 24 68
+ 0.390533 0 1 tcp 1040 ------- 0 0.0 1.0 44 69
r 0.3922 0 1 tcp 1040 ------- 0 0.0 1.0 25 38
+ 0.3922 1 0 ack 40 ------- 0 1.0 0.0 25 70
- 0.3922 1 0 ack 40 ------- 0 1.0 0.0 25 70
- 0.394133 0 1 tcp 1040 ------- 0 0.0 1.0 27 41
r 0.397467 1 0 ack 40 ------- 0 1.0 0.0 25 70
+ 0.397467 0 1 tcp 1040 ------- 0 0.0 1.0 45 71
r 0.399133 0 1 tcp 1040 ------- 0 0.0 1.0 26 39
+ 0.399133 1 0 ack 40 ------- 0 1.0 0.0 26 72
- 0.399133 1 0 ack 40 ------- 0 1.0 0.0 26 72
- 0.401067 0 1 tcp 1040 ------- 0 0.0 1.0 28 42
r 0.4044 1 0 ack 40 ------- 0 1.0 0.0 26 72
+ 0.4044 0 1 tcp 1040 ------- 0 0.0 1.0 46 73
r 0.406067 0 1 tcp 1040 ------- 0 0.0 1.0 27 41
+ 0.406067 1 0 ack 40 ------- 0 1.0 0.0 27 74
